business_name,category,location,website,estimated_value,priority,contact_name,contact_email,notes
The Cally Hotel,accommodation,Gatehouse of Fleet,https://www.callyhotel.co.uk,Gold - £200 one-time,High,,info@callyhotel.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: dogs welcome in selected rooms / 500 acre estate. Suggested Gold/Silver. Listing: /listings/cally-hotel-gatehouse-of-fleet/ Email ID: eml_069c2f09afd87e7a8000b5be79c0fe5c. Follow-up due: 2026-03-31"
Killyon Farm Cottages,accommodation,Castle Douglas,https://www.killyonfarmcottages.co.uk,Silver - £125 one-time,High,,,Not yet contacted
Carlinwark Loch Lodges,accommodation,Castle Douglas,https://www.carlinwarkloch.co.uk,Silver - £125 one-time,High,,,Not yet contacted
Portpatrick Harbour House Hotel,accommodation,Portpatrick,https://www.portpatrickharbourhouse.co.uk,Gold - £200 one-time,High,,info@portpatrickharbourhouse.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: harbour views and coastal location. Suggested Gold/Silver. Listing: /listings/portpatrick-harbour-house-hotel/ Email ID: eml_069c2f09b9907a3280004da620989cc0. Follow-up due: 2026-03-31"
Ardwell Inn,accommodation,Portpatrick,https://www.ardwellinn.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Galloway House Hotel,accommodation,Garlieston,https://www.gallowayhousehotel.co.uk,Silver - £125 one-time,High,,info@gallowayhousehotel.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: coastal location near Sweetheart Abbey and coastal walks. Suggested Gold/Silver. Listing: /listings/galloway-house-hotel-garlieston/ Email ID: eml_069c2f09b961776880001055dd4e7074. Follow-up due: 2026-03-31"
Glengap Holiday Park,accommodation,New Galloway,https://www.glengapholidaypark.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Craigdhu Country House,accommodation,Dumfries,https://www.craigdhucountryhouse.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Galloway Wildlife Conservation Park,attraction,Crocketford / Kirkcudbright,https://www.gallowaywildlife.co.uk,Silver - £125 one-time,High,,info@gallowaywildlife.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: one of region's top family attractions / dog-owning families plan around park visits. Suggested Bronze/Silver. Listing: /listings/galloway-wildlife-conservation-park/ Email ID: eml_069c2f0bdfd8719f8000db30700a363b. Follow-up due: 2026-03-31"
Logan Botanic Garden,attraction,Port Logan / Stranraer,https://www.rbge.org.uk/logan,Bronze - £75 one-time,Medium,,,Not yet contacted
Threave Castle and Garden,attraction,Castle Douglas,https://www.nts.org.uk/visit/places/threave,Bronze - £75 one-time,Medium,,,Not yet contacted
Caerlaverock Castle,attraction,Dumfries,https://www.historicenvironment.scot/caerlaverock,Bronze - £75 one-time,Medium,,,Not yet contacted
The Murray Arms,pub_restaurant,Gatehouse of Fleet,https://www.murrayarmsgatehouse.co.uk,Gold - £200 one-time,High,,info@murrayarmshotel.com,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: already featured in dog-friendly pubs guide. Suggested Gold (Burns editorial piece angle). Listing: /listings/the-murray-arms-gatehouse/ Email ID: eml_069c2f09b0377cd38000be40d7f0bfca. Follow-up due: 2026-03-31"
The Kings Arms Hotel,pub_restaurant,Castle Douglas,https://www.kingsarmscastledouglas.co.uk,Silver - £125 one-time,High,,info@kingsarmscastledouglas.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: perfect base for Castle Douglas and nearby walks. Suggested Gold/Silver. No existing listing — new prospect. Email ID: eml_069c2f09b9767646800012c497d219a7. Follow-up due: 2026-03-31"
The Anchor Inn,pub_restaurant,Stranraer,https://www.anchorinnstranraer.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Cream o Galloway,pub_restaurant,Rainton near Gatehouse of Fleet,https://www.creamogalloway.co.uk,Silver - £125 one-time,High,,info@creamogalloway.co.uk,"CONTACTED 2026-03-24: Initial outreach sent. Personalised: already listed in attractions / strong visitor numbers expected. Suggested Gold/Silver. Listing: /listings/cream-o-galloway/ Email ID: eml_069c2f0afb1f72278000cb54551cb486. Follow-up due: 2026-03-31"
Portpatrick Harbour Cafe,pub_restaurant,Portpatrick,https://www.portpatrickharbourcafe.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Dumfries Veterinary Hospital,service,Dumfries,https://www.dumfriesvets.co.uk,Silver - £125 one-time,Medium,,,Not yet contacted
Castle Douglas Veterinary Centre,service,Castle Douglas,https://www.castledouglasvets.co.uk,Bronze - £75 one-time,Medium,,,Not yet contacted
Pets at Home Dumfries,service,Dumfries,https://www.petsathome.com/shop/en/pets/stores/pets-at-home-dumfries,Bronze - £75 one-time,Low,,,Not yet contacted
